image	label	prompt	category	subcategory
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/jean_metzinger/cathedral_cover.webp	Jean Metzinger	jean metzinger	Artist	Cubism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/theo_van_rysselberghe/cathedral_cover.webp	Théo van Rysselberghe	théo van rysselberghe	Artist	PointillismArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/zdzislaw_beksinski/cathedral_cover.webp	Zdzislaw Beksinski	zdzislaw beksinski	Artist	HorrorArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/alexandre_benois/cathedral_cover.webp	Alexandre Benois	alexandre benois	Artist	Symbolism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/szymon_biernacki/cathedral_cover.webp	Szymon Biernacki	szymon biernacki	Artist	HyperRealisticDigitalArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/james_c_christensen/cathedral_cover.webp	James C. Christensen	james c. christensen	Artist	FantasyRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/aaron_horkey/cathedral_cover.webp	Aaron Horkey	aaron horkey	Artist	BaroqueArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/piotr_foksowicz/cathedral_cover.webp	Piotr Foksowicz	piotr foksowicz	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/cornelis_saftleven/cathedral_cover.webp	Cornelis Saftleven	cornelis saftleven	Artist	BaroqueArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/cimabue/cathedral_cover.webp	Cimabue	cimabue	Artist	MedievalRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/umberto_boccioni/cathedral_cover.webp	Umberto Boccioni	umberto boccioni	Artist	Futurism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/duy_huynh/cathedral_cover.webp	Duy Huynh	duy huynh	Artist	FantasyRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/robert_bissell/cathedral_cover.webp	Robert Bissell	robert bissell	Artist	FantasyRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/franklin_booth/cathedral_cover.webp	Franklin Booth	franklin booth	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/stuart_immonen/cathedral_cover.webp	Stuart Immonen	stuart immonen	Artist	ComicBookStyle
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/claude_monet/cathedral_cover.webp	Claude Monet	claude monet	Artist	Impressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/andrea_del_sarto/cathedral_cover.webp	Andrea del Sarto	andrea del sarto	Artist	HighRenaissance
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/sui_ishida/cathedral_cover.webp	Sui Ishida	sui ishida	Artist	GothicArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/alex_schomburg/cathedral_cover.webp	Alex Schomburg	alex schomburg	Artist	FantasyRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/ambrosius_bosschaert/cathedral_cover.webp	Ambrosius Bosschaert	ambrosius bosschaert	Artist	StillLife
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/johfra_bosschart/cathedral_cover.webp	Johfra Bosschart	johfra bosschart	Artist	FantasyRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/francois_boucher/cathedral_cover.webp	Francois Boucher	francois boucher	Artist	RococoArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/bill_jacklin/cathedral_cover.webp	Bill Jacklin	bill jacklin	Artist	HyperRealisticPaintings
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/stefan_morrell/cathedral_cover.webp	Stefan Morrell	stefan morrell	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/max_ernst/cathedral_cover.webp	Max Ernst	max ernst	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/francois_schuiten/cathedral_cover.webp	Francois Schuiten	francois schuiten	Artist	Futurism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/george_b_bridgman/cathedral_cover.webp	George B. Bridgman	george b. bridgman	Artist	Figure Drawing / Academic Art
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/android_jones/cathedral_cover.webp	Android Jones	android jones	Artist	FantasyArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/kurt_schwitters/cathedral_cover.webp	Kurt Schwitters	kurt schwitters	Artist	MerzArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/domenico_ghirlandaio/cathedral_cover.webp	Domenico Ghirlandaio	domenico ghirlandaio	Artist	RenaissanceArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/dave_gibbons/cathedral_cover.webp	Dave Gibbons	dave gibbons	Artist	Cyberpunk
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/jeffrey_catherine_jones/cathedral_cover.webp	Jeffrey Catherine Jones	jeffrey catherine jones	Artist	FantasyArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/wadim_kashin/cathedral_cover.webp	Wadim Kashin	wadim kashin	Artist	Modernism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/alberto_seveso/cathedral_cover.webp	Alberto Seveso	alberto seveso	Artist	ContemporaryArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/jim_burns/cathedral_cover.webp	Jim Burns	jim burns	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/jack_kirby/cathedral_cover.webp	Jack Kirby	jack kirby	Artist	American Comic Book Art
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/alexandre_calame/cathedral_cover.webp	Alexandre Calame	alexandre calame	Artist	Watercolor
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/clyde_caldwell/cathedral_cover.webp	Clyde Caldwell	clyde caldwell	Artist	FantasyRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/hr_giger/cathedral_cover.webp	HR Giger	hr giger	Artist	Cyberpunk
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/ernst_ludwig_kirchner/cathedral_cover.webp	Ernst Ludwig Kirchner	ernst ludwig kirchner	Artist	Expressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/michael_carson/cathedral_cover.webp	Michael Carson	michael carson	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/craig_mullins/cathedral_cover.webp	Craig Mullins	craig mullins	Artist	ContemporaryArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/emmanuel_shiu/cathedral_cover.webp	Emmanuel Shiu	emmanuel shiu	Artist	FantasyArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/oskar_kokoschka/cathedral_cover.webp	Oskar Kokoschka	oskar kokoschka	Artist	Expressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/willem_de_kooning/cathedral_cover.webp	Willem de Kooning	willem de kooning	Artist	AbstractExpressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/bruno_munari/cathedral_cover.webp	Bruno Munari	bruno munari	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/chaim_soutine/cathedral_cover.webp	Chaim Soutine	chaim soutine	Artist	Expressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/yanjun_cheng/cathedral_cover.webp	Yanjun Cheng	yanjun cheng	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/bella_kotak/cathedral_cover.webp	Bella Kotak	bella kotak	Artist	Steampunk
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/edvard_munch/cathedral_cover.webp	Edvard Munch	edvard munch	Artist	Expressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/harry_clarke/cathedral_cover.webp	Harry Clarke	harry clarke	Artist	FairyTaleArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/james_gilleard/cathedral_cover.webp	James Gilleard	james gilleard	Artist	ImpressionistInk
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/alfred_stieglitz/cathedral_cover.webp	Alfred Stieglitz	alfred stieglitz	Artist	FineArtPhotography
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/harvey_kurtzman/cathedral_cover.webp	Harvey Kurtzman	harvey kurtzman	Artist	ComicBookStyle
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/drew_struzan/cathedral_cover.webp	Drew Struzan	drew struzan	Artist	FantasyArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/henry_clive/cathedral_cover.webp	Henry Clive	henry clive	Artist	BaroqueArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/lovis_corinth/cathedral_cover.webp	Lovis Corinth	lovis corinth	Artist	Modernism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/david_la_chapelle/cathedral_cover.webp	David LaChapelle	david lachapelle	Artist	HyperRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/osamu_tezuka/cathedral_cover.webp	Osamu Tezuka	osamu tezuka	Artist	AnimeStyle
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/john_currin/cathedral_cover.webp	John Currin	john currin	Artist	Realism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/saskia_gutekunst/cathedral_cover.webp	Saskia Gutekunst	saskia gutekunst	Artist	Expressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/abigail_larson/cathedral_cover.webp	Abigail Larson	abigail larson	Artist	GothicArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/bridget_riley/cathedral_cover.webp	Bridget Riley	bridget riley	Artist	OpArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/alvin_langdon_coburn/cathedral_cover.webp	Alvin Langdon Coburn	alvin langdon coburn	Artist	Precisionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/dan_de_carlo/cathedral_cover.webp	Dan DeCarlo	dan decarlo	Artist	CartoonStyle
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/carl_larsson/cathedral_cover.webp	Carl Larsson	carl larsson	Artist	Impressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/liniers/cathedral_cover.webp	Liniers	liniers	Artist	ComicBookStyle
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/craig_thompson/cathedral_cover.webp	Craig Thompson	craig thompson	Artist	GraphicNovelRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/francesco_del_cossa/cathedral_cover.webp	Francesco del Cossa	francesco del cossa	Artist	RenaissanceArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/nicolas_delort/cathedral_cover.webp	Nicolas Delort	nicolas delort	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/bastien_lecouffe_deharme/cathedral_cover.webp	Bastien Lecouffe-Deharme	bastien lecouffe-deharme	Artist	DigitalArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/hiroshi_nagai/cathedral_cover.webp	Hiroshi Nagai	hiroshi nagai	Artist	Futurism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/gregory_crewdson/cathedral_cover.webp	Gregory Crewdson	gregory crewdson	Artist	HyperrealisticPhotography
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/andre_derain/cathedral_cover.webp	Andre Derain	andre derain	Artist	Fauvism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/adrian_tomine/cathedral_cover.webp	Adrian Tomine	adrian tomine	Artist	Minimalism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/iwona_lifsches/cathedral_cover.webp	Iwona Lifsches	iwona lifsches	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/alice_neel/cathedral_cover.webp	Alice Neel	alice neel	Artist	Portraiture
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/jan_urschel/cathedral_cover.webp	Jan Urschel	jan urschel	Artist	Minimalism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/amy_earles/cathedral_cover.webp	Amy Earles	amy earles	Artist	FantasyArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/piero_della_francesca/cathedral_cover.webp	Piero della Francesca	piero della francesca	Artist	RenaissanceArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/richard_lindner/cathedral_cover.webp	Richard Lindner	richard lindner	Artist	Expressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/diego_velazquez/cathedral_cover.webp	Diego Velázquez	diego velázquez	Artist	BaroqueArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/jacques_louis_david/cathedral_cover.webp	Jacques-Louis David	jacques-louis david	Artist	NeoClassicism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/arthur_hacker/cathedral_cover.webp	Arthur Hacker	arthur hacker	Artist	PreRaphaelite
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/marsden_hartley/cathedral_cover.webp	Marsden Hartley	marsden hartley	Artist	Modernism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/elisabeth_vigee_lebrun/cathedral_cover.webp	Élisabeth Vigée-Lebrun	élisabeth vigée-lebrun	Artist	RococoArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/august_macke/cathedral_cover.webp	August Macke	august macke	Artist	Expressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/marc_davis/cathedral_cover.webp	Marc Davis	marc davis	Artist	AnimeStyle
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/stephen_hickman/cathedral_cover.webp	Stephen Hickman	stephen hickman	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/adam_hughes/cathedral_cover.webp	Adam Hughes	adam hughes	Artist	GothicArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/sam_spratt/cathedral_cover.webp	Sam Spratt	sam spratt	Artist	Futurism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/michael_de_forge/cathedral_cover.webp	Michael DeForge	michael deforge	Artist	FantasyRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/louis_wain/cathedral_cover.webp	Louis Wain	louis wain	Artist	WhimsicalArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/edgar_degas/cathedral_cover.webp	Edgar Degas	edgar degas	Artist	Impressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/junji_ito/cathedral_cover.webp	Junji Ito	junji ito	Artist	HorrorArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/johan_hendrik_weissenbruch/cathedral_cover.webp	Johan Hendrik Weissenbruch	johan hendrik weissenbruch	Artist	Impressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/victor_nizovtsev/cathedral_cover.webp	Victor Nizovtsev	victor nizovtsev	Artist	FantasyRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/tom_whalen/cathedral_cover.webp	Tom Whalen	tom whalen	Artist	Futurism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/agnes_cecile/cathedral_cover.webp	Agnes Cecile	agnes cecile	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/ruan_jia/cathedral_cover.webp	Ruan Jia	ruan jia	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/paul_delvaux/cathedral_cover.webp	Paul Delvaux	paul delvaux	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/agostino_arrivabene/cathedral_cover.webp	Agostino Arrivabene	agostino arrivabene	Artist	BaroqueArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/kehinde_wiley/cathedral_cover.webp	Kehinde Wiley	kehinde wiley	Artist	ContemporaryArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/aaron_jasinski/cathedral_cover.webp	Aaron Jasinski	aaron jasinski	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/grant_wood/cathedral_cover.webp	Grant Wood	grant wood	Artist	Regionalism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/william_morris/cathedral_cover.webp	William Morris	william morris	Artist	DecorativeArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/liu_ye/cathedral_cover.webp	Liu Ye	liu ye	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/guy_denning/cathedral_cover.webp	Guy Denning	guy denning	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/albert_pinkham_ryder/cathedral_cover.webp	Albert Pinkham Ryder	albert pinkham ryder	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/jacek_yerka/cathedral_cover.webp	Jacek Yerka	jacek yerka	Artist	FantasyRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/anna_dittmann/cathedral_cover.webp	Anna Dittmann	anna dittmann	Artist	Minimalism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/audrey_kawasaki/cathedral_cover.webp	Audrey Kawasaki	audrey kawasaki	Artist	GothicArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/raphael_kirchner/cathedral_cover.webp	Raphael Kirchner	raphael kirchner	Artist	Expressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/aldus_manutius/cathedral_cover.webp	Aldus Manutius	aldus manutius	Artist	Realism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/emory_douglas/cathedral_cover.webp	Emory Douglas	emory douglas	Artist	Afrofuturism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/alexander_archipenko/cathedral_cover.webp	Alexander Archipenko	alexander archipenko	Artist	Cubism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/elizabeth_mac_nicol/cathedral_cover.webp	Elizabeth MacNicol	elizabeth macnicol	Artist	ContemporaryArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/alexei_savrasov/cathedral_cover.webp	Alexei Savrasov	alexei savrasov	Artist	Impressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/david_downton/cathedral_cover.webp	David Downton	david downton	Artist	DigitalArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/jonny_duddle/cathedral_cover.webp	Jonny Duddle	jonny duddle	Artist	FantasyArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/alex_toth/cathedral_cover.webp	Alex Toth	alex toth	Artist	LineArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/anthonis_van_dyck/cathedral_cover.webp	Anthonis van Dyck	anthonis van dyck	Artist	BaroqueArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/ferdinand_knab/cathedral_cover.webp	Ferdinand Knab	ferdinand knab	Artist	Symbolism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/tristan_eaton/cathedral_cover.webp	Tristan Eaton	tristan eaton	Artist	PopArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/slim_aarons/cathedral_cover.webp	Slim Aarons	slim aarons	Artist	Maximalism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/alice_provensen/cathedral_cover.webp	Alice Provensen	alice provensen	Artist	IllustrativeFables
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/kathe_kollwitz/cathedral_cover.webp	Kathe Kollwitz	kathe kollwitz	Artist	Expressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/amedeo_modigliani/cathedral_cover.webp	Amedeo Modigliani	amedeo modigliani	Artist	Expressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/al_williamson/cathedral_cover.webp	Al Williamson	al williamson	Artist	FantasyRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/edwin_austin_abbey/cathedral_cover.webp	Edwin Austin Abbey	edwin austin abbey	Artist	VictorianArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/gil_elvgren/cathedral_cover.webp	Gil Elvgren	gil elvgren	Artist	PinupArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/jim_mahfood/cathedral_cover.webp	Jim Mahfood	jim mahfood	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/andrea_del_verrocchio/cathedral_cover.webp	Andrea del Verrocchio	andrea del verrocchio	Artist	RenaissanceArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/rafael_albuquerque/cathedral_cover.webp	Rafael Albuquerque	rafael albuquerque	Artist	DarkFantasy
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/erte/cathedral_cover.webp	Erté	erté	Artist	ArtDeco
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/andrew_macara/cathedral_cover.webp	Andrew Macara	andrew macara	Artist	ImpressionisticVistas
